# PDIoT walking data,,,,,,,
# Start time: 20180925T200210,,,,,,,
# Group: A,,,,,,,
# Subject: HelloWorld,,,,,,,
# Activity type: Climbing stairs,,,,,,,
# Sensor position: Wrist,,,,,,,
# Side of body: Left,,,,,,,
# Sensor mounting: Body,,,,,,,
# Number of steps: 100,,,,,,,
# Notes: ,,,,,,,
,,,,,,,
timestamp,seq,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1.5379E+12,26,0.051757812,0.9609375,0.31054688,17.90625,97.71875,-20.5
1.5379E+12,27,0.08886719,0.94140625,0.34277344,27.78125,95.53125,-28.0625
1.5379E+12,28,0.125,0.8466797,0.44726562,2.09375,93.15625,-27.59375
1.5379E+12,29,0.13671875,0.8544922,0.41992188,27.625,94.5625,-21.90625
1.5379E+12,30,0.021484375,0.74316406,0.39941406,40.4375,88.40625,-20.3125
1.5379E+12,31,-0.002929688,0.8408203,0.37304688,23.65625,86.3125,-20.3125
1.5379E+12,32,-0.008789063,0.8642578,0.31835938,23.28125,73,-24.46875
1.5379E+12,33,-0.055664062,0.90234375,0.2626953,16.1875,58.3125,-27.28125
1.5379E+12,34,-0.037109375,0.82421875,0.16015625,64.96875,42.75,-30.6875
1.5379E+12,35,-0.07519531,0.89941406,0.08496094,12,32.71875,-35.75
1.5379E+12,36,-0.11230469,1.1904297,0.038085938,112.4375,19.78125,-45.53125
1.5379E+12,37,-0.234375,0.82910156,0.10644531,121.1875,2.6875,-34.71875
1.5379E+12,38,-0.09375,1.2753906,-0.12695312,129.125,-8.15625,-29.34375
1.5379E+12,39,-0.26464844,1.4052734,-0.07714844,88.15625,-24.03125,-12.09375
1.5379E+12,40,0.29589844,0.9609375,-0.25878906,242.5,-46.5,75.6875
1.5379E+12,41,0.46972656,-0.25097656,-0.63183594,131.0625,-83.0625,179.5625
1.5379E+12,42,0.41503906,-0.037109375,-0.34960938,43.28125,-93,266.1875
1.5379E+12,43,0.83984375,-0.078125,-0.021484375,-8.9375,-55.71875,356.21875
1.5379E+12,44,1.2626953,0.66308594,0.22167969,-92.4375,-8.84375,403.875
1.5379E+12,45,1.2568359,0.62402344,0.12792969,9.0625,17,437.875
1.5379E+12,46,1.9453125,0.203125,0.1796875,-50.5,74.53125,454.90625
1.5379E+12,47,2.0029297,0.3330078,0.16894531,-201.5625,75.75,426.75
1.5379E+12,48,1.8925781,0.33203125,0.19921875,-272.25,49.5625,356.625
1.5379E+12,49,1.7685547,0.3876953,-0.19042969,-223.5,15.34375,289.9375
1.5379E+12,50,1.4638672,0.12402344,-0.012695313,-55.15625,-17.125,251.59375
1.5379E+12,51,1.4980469,0.21777344,-0.21875,-1,13.9375,197.34375
1.5379E+12,52,1.1728516,0.21875,-0.31445312,20.71875,14,155.59375
1.5379E+12,53,1.0332031,0.3564453,-0.2783203,12.09375,25.28125,98.53125
1.5379E+12,54,0.9980469,0.33203125,-0.3564453,43.25,23.46875,39.375
1.5379E+12,55,0.9785156,0.44140625,-0.29785156,50.8125,10.34375,-28.625
1.5379E+12,56,0.7783203,0.33789062,-0.27441406,78.8125,-6.40625,-91.96875
1.5379E+12,57,0.8808594,0.26953125,-0.20507812,94.6875,-21.53125,-143.5625
1.5379E+12,58,1.1601562,0.32128906,-0.17285156,123.3125,-44.96875,-184.5625
1.5379E+12,59,1.5488281,0.25683594,-0.07421875,134.125,-69.0625,-229.0625
1.5379E+12,60,1.7753906,0.0234375,-0.012695313,113.3125,-93.625,-262.625
1.5379E+12,61,1.84375,0.080078125,0.008789063,49.28125,-100.15625,-277.8125
1.5379E+12,62,1.7773438,0.16699219,-0.009765625,-8.71875,-90.625,-287.53125
1.5379E+12,63,1.5976562,0.43554688,0.022460938,-18.03125,-67.78125,-285.75
1.5379E+12,64,1.4628906,0.37890625,0.020507812,51.09375,-66.34375,-270.875
1.5379E+12,65,1.2060547,0.375,0.038085938,33.65625,-62.3125,-245.90625
1.5379E+12,66,0.97753906,0.37109375,-0.05078125,31.53125,-53.15625,-218.375
1.5379E+12,67,0.77734375,0.40527344,-0.1328125,38.09375,-49.0625,-194.625
1.5379E+12,68,0.6699219,0.3173828,-0.055664062,33.90625,-44.78125,-165.78125
1.5379E+12,69,0.9951172,0.24121094,-0.48632812,-30.6875,113.46875,207.09375
1.5379E+12,70,1.171875,0.36621094,-0.4111328,-30.5625,105.65625,238.59375
1.5379E+12,71,1.4541016,0.359375,-0.46777344,6.0625,84.1875,267.28125
1.5379E+12,72,1.5302734,0.21386719,-0.36816406,10.21875,56.78125,300.25
1.5379E+12,73,1.7001953,0.36621094,-0.25976562,-56.5,58.5,320.6875
1.5379E+12,74,1.6230469,0.46484375,-0.27734375,-47.84375,40.59375,309.28125
1.5379E+12,75,1.4355469,0.3173828,-0.28320312,-33.4375,32.375,267.09375
1.5379E+12,76,1.2275391,0.13183594,-0.3154297,-51.1875,30.65625,229.125
1.5379E+12,77,1.1748047,0.09667969,-0.3154297,-52.09375,19.1875,184.34375
1.5379E+12,78,1.0371094,-0.15917969,-0.4189453,-53.4375,9.53125,147.03125
1.5379E+12,79,1.0976562,-0.37304688,-0.3876953,-73.46875,-6.6875,123.78125
1.5379E+12,80,1.2626953,-0.22167969,-0.36914062,-122.09375,-13.28125,105.40625
1.5379E+12,81,1.2177734,0.001953125,-0.31347656,-76.09375,-21.21875,83.75
1.5379E+12,82,1.1210938,0.068359375,-0.3076172,-18.03125,-18.46875,47.6875
1.5379E+12,83,0.89941406,0.14746094,-0.26464844,3.4375,-8.78125,-7.3125
